SR.NO,PRODUCT CODE,PRODUCT NAME,SHORT NAME,B2B
1,INFERTILITY PROFILE A 58,INFERTILITY PROFILE A 58,IN58AE122,52.41
2,BONE AND MUSCLE PROFILE B 59,BONE AND MUSCLE PROFILE B 59,BO59AE122,72.9
3,INFERTILITY PROFILE C 113,INFERTILITY PROFILE C 113,IN13AE122,382.93
4,PREGNANCY PROFILE C 131,PREGNANCY PROFILE C 131,PR31AE122,277.41
5,ANEMIA PROFILE A 55,ANEMIA PROFILE A 55,AN55AE122,38.86
6,ARTHRITIS PROFILE A 54,ARTHRITIS PROFILE A 54,AR54AE122,37
7,BASIC DIABETES PACKAGE,BASIC DIABETES PACKAGE,15DIABA45,31.48
8,ATHLETE PROFILE A 60,ATHLETE PROFILE A 60,AT60AE122,67.04
9,PREGNANCY PROFILE B 86,PREGNANCY PROFILE B 86,PR86AE122,67.47
10,ARTHRITIS PROFILE C 103,ARTHRITIS PROFILE C 103,AR03AE122,288.06
11,INFECTION PROFILE B 59,INFECTION PROFILE B 59,IN59AE122,113.43
12,OBESITY PROFILE C 107,OBESITY PROFILE C 107,OB07AE122,315.06
13,STANDARD WELLNESS PACKAGE,STANDARD WELLNESS PACKAGE,40WELLST120A,43.52
14,PCOD PROFILE A 57,PCOD PROFILE A 57,PC57AE122,52.29
15,ARTHRITIS PROFILE B 58,ARTHRITIS PROFILE B 58,AR58AE122,78.12
16,BONE AND MUSCLE PROFILE C 104,BONE AND MUSCLE PROFILE C 104,BO04AE122,282.84
17,OBESITY PROFILE A 55,OBESITY PROFILE A 55,OB55AE122,48.77
18,ANEMIA PROFILE B 100,ANEMIA PROFILE B 100,AN00AE122,248.8
19,PRE SURGERY PROFILE A 80,PRE SURGERY PROFILE A 80,PR80AE122,52.15
20,HAIR HEALTH PROFILE B 58,HAIR HEALTH PROFILE B 58,HA58AE122,58.91
21,INFERTILITY PROFILE B 68,INFERTILITY PROFILE B 68,IN68AE122,172.99
22,HAIR HEALTH PROFILE A 57,HAIR HEALTH PROFILE A 57,HA57AE122,53.16
23,PREMIUM DIABETES PACKAGE,PREMIUM DIABETES PACKAGE,60DIAPR180,113.12
24,PCOD PROFILE C 107,PCOD PROFILE C 107,PC07AE122,333.62
25,PCOD PROFILE B 62,PCOD PROFILE B 62,PC62AE122,123.68
26,ATHLETE PROFILE B 64,ATHLETE PROFILE B 64,AT64AE122,92.28
27,STANDARD DIABETES PACKAGE,STANDARD DIABETES PACKAGE,30DIAST90,55.67
28,INFECTION PROFILE A 54,INFECTION PROFILE A 54,IN54AE122,42.55
29,BASIC WELLNESS PACKAGE,BASIC WELLNESS PACKAGE,20WELLBA60A,25.46
30,PREGNANCY PROFILE A 60,PREGNANCY PROFILE A 60,PR60AE122,57.87
31,BONE AND MUSCLE PROFILE A 55,BONE AND MUSCLE PROFILE A 55,BO55AE122,49.39
32,ATHLETE PROFILE C 109,ATHLETE PROFILE C 109,AT09AE122,302.22
33,HAIR HEALTH PROFILE C 103,HAIR HEALTH PROFILE C 103,HA03AE122,268.85
34,OBESITY PROFILE B 62,OBESITY PROFILE B 62,OB62AE122,105.12
35,WOMEN HORMONE PROFILE,WOMEN HORMONE PROFILE,WHPN,25.63
36,METABOLIC PROFILE (BIOT),METABOLIC PROFILE (BIOT),BIOT,23.2
37,THYRO 5,THYRO 5,TH 5AE122,6.41
38,TSH-LH-FSH-PRL,TSH-LH-FSH-PRL,TLFP,10.71
39,KIDNEY FUNCTION TESTS,KIDNEY FUNCTION TESTS,KFT,2.39
40,TOTAL THYROID,TOTAL THYROID,TFT,3.45
41,VITAMINS PACKAGE,VITAMINS PACKAGE,VP,11.54
42,CARDIAC PROFILE,CARDIAC PROFILE,CP,52.84
43,PRE EMPLOYMENT PROFILE,PRE EMPLOYMENT PROFILE,VMP,19.56
44,LIPID PROFILE,LIPID PROFILE,LIPID,4.64
45,IRON DEFICIENCY,IRON DEFICIENCY,IDP,3.34
46,LIVER FUNCTION TESTS,LIVER FUNCTION TESTS,LFT,3.92
47,IRON DEFICIENCY PLUS,IRON DEFICIENCY PLUS,IDAP,10.13
48,FEMALE CANCER MARKERS,FEMALE CANCER MARKERS,FCM,48.17
49,FREE THYROID,FREE THYROID,FTFT,4.11
50,PPBS,POSTPRANDIAL BLOOD SUGAR,PPBS,4
51,FBS,FASTING BLOOD SUGAR,FBS,4
52,HBA,HBA1C,HBA,7.5
53,RBS,RANDOM BLOOD SUGAR,RBS,4
54,HBST,HEPATITS B SURFACE ANTIBODY (ANTI-HBS) - TOTAL,HBST,7.59
55,FERR,FERRITIN,FERR,1.48
56,PSA,PROSTATE SPECIFIC ANTIGEN (PSA),PSA,1.87
57,FSH,FOLLICLE STIMULATING HORMONE (FSH),FSH,2.82
58,CALC,CALCIUM,CALC,1.04
59,CRP,C-REACTIVE PROTEIN (CRP),CRP,1.91
60,ANEMIA PROFILE,ANEMIA PROFILE,AP,37.66
